Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Low Freq (Hz)	High Freq (Hz)
31	Spectrogram 1	1	4405.544090000	4406.274761000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	27.935900	21363.60000	25454.50000
33	Spectrogram 1	1	4414.463890000	4415.425668000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	36.855700	20909.10000	24545.50000
34	Spectrogram 1	1	4415.523690000	4416.427107000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	37.915500	20909.10000	24090.90000
36	Spectrogram 1	1	4422.256190000	4423.054559000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	44.648000	20454.50000	24545.50000
38	Spectrogram 1	1	4424.422490000	4425.610706000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	46.814300	20454.50000	25000.00000
41	Spectrogram 1	1	4435.681390000	4436.834589000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	58.073200	20909.10000	24545.50000
42	Spectrogram 1	1	4437.004990000	4438.183868000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	59.396800	20909.10000	25454.50000
44	Spectrogram 1	1	4441.697190000	4442.829380000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	64.089000	20454.50000	25000.00000
46	Spectrogram 1	1	4447.302090000	4448.464627000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	69.693900	20454.50000	25000.00000
47	Spectrogram 1	1	4448.604690000	4449.578140000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	70.996500	21363.60000	25909.10000
49	Spectrogram 1	1	4458.988990000	4460.150194000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	81.380800	20454.50000	25000.00000
51	Spectrogram 1	1	4464.815390000	4466.049351000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	87.207200	20454.50000	25000.00000
52	Spectrogram 1	1	4466.200690000	4467.432711000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	88.592500	21363.60000	25000.00000
53	Spectrogram 1	1	4471.867990000	4472.329755000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	94.259800	21818.20000	27272.70000
54	Spectrogram 1	1	4473.457990000	4474.746276000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	95.849800	20909.10000	24545.50000
55	Spectrogram 1	1	4479.139890000	4480.460380488	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	101.531700	20454.50000	25000.00000
56	Spectrogram 1	1	4484.141690000	4485.060010469	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	106.533500	23636.40000	27272.70000
57	Spectrogram 1	1	4488.362590000	4489.643116000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	110.754400	20909.10000	27727.30000
58	Spectrogram 1	1	4489.800190000	4490.914830000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	112.192000	20454.50000	24545.50000
59	Spectrogram 1	1	4491.039090000	4492.171191000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	113.430900	20909.10000	25000.00000
60	Spectrogram 1	1	4497.056590000	4498.307043000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	119.448400	20454.50000	26818.20000
61	Spectrogram 1	1	4498.448590000	4499.527336000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	120.840400	20454.50000	25000.00000
62	Spectrogram 1	1	4516.143190000	4517.259189448	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	138.535000	20909.10000	25000.00000
63	Spectrogram 1	1	4521.361290000	4521.663959000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	143.753100	22272.70000	27727.30000
64	Spectrogram 1	1	4522.973590000	4523.973758000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	145.365400	20454.50000	24545.50000
65	Spectrogram 1	1	4524.474290000	4525.475428000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	146.866100	21363.60000	25454.50000
66	Spectrogram 1	1	4528.872490000	4530.136820503	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	151.264300	20909.10000	28888.49400
67	Spectrogram 1	1	4530.426890000	4531.809510317	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	152.818700	20909.10000	25454.50000
68	Spectrogram 1	1	4539.192590000	4539.972546000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	161.584400	20909.10000	25000.00000
69	Spectrogram 1	1	4545.668790000	4546.992155391	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	168.060600	20049.65900	30361.63300
70	Spectrogram 1	1	4547.082390000	4548.240684000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	169.474200	20909.10000	25000.00000
71	Spectrogram 1	1	4549.015790000	4551.049110000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	171.407600	20909.10000	33181.80000
72	Spectrogram 1	1	4558.014390000	4558.964113000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	180.406200	20454.50000	24545.50000
73	Spectrogram 1	1	4565.652990000	4566.279672000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	188.044800	20454.50000	25000.00000
74	Spectrogram 1	1	4572.737590000	4573.912375000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	195.129400	20909.10000	25000.00000
75	Spectrogram 1	1	4580.409090000	4581.857443000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	202.800900	20909.10000	28181.80000
76	Spectrogram 1	1	4581.973790000	4582.968138000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	204.365600	21363.60000	24090.90000
77	Spectrogram 1	1	4617.829490000	4618.836448000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	240.221300	22727.30000	27727.30000
78	Spectrogram 1	1	4624.760890000	4625.320611924	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	247.152700	22272.70000	27415.35500
79	Spectrogram 1	1	4627.862190000	4628.649907000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	250.254000	23636.40000	31363.60000
80	Spectrogram 1	1	4628.891490000	4629.594810000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	251.283300	22727.30000	27727.30000
81	Spectrogram 1	1	4641.988790000	4642.863816000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	264.380600	22727.30000	27727.30000
82	Spectrogram 1	1	4647.276790000	4648.013092000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	269.668600	23181.80000	29545.50000
83	Spectrogram 1	1	4650.107490000	4652.088424000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	272.499300	20909.10000	31363.60000
84	Spectrogram 1	1	4654.867790000	4655.827214000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	277.259600	22272.70000	29545.50000
85	Spectrogram 1	1	4656.112390000	4656.978685000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	278.504200	20909.10000	26818.20000
86	Spectrogram 1	1	4661.371290000	4662.326834000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	283.763100	23181.80000	27727.30000
87	Spectrogram 1	1	4662.558690000	4663.267829000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	284.950500	22727.30000	26818.20000
88	Spectrogram 1	1	4665.553390000	4666.065600000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	287.945200	23636.40000	27272.70000
89	Spectrogram 1	1	4668.462690000	4669.436666000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	290.854500	23181.80000	28636.40000
90	Spectrogram 1	1	4674.062090000	4675.369418995	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	296.453900	20909.10000	27727.30000
91	Spectrogram 1	1	4675.447390000	4676.632174062	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	297.839200	20454.50000	25454.50000
92	Spectrogram 1	1	4682.758390000	4683.578120000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	305.150200	23181.80000	29090.90000
93	Spectrogram 1	1	4683.656690000	4684.307624000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	306.048500	22727.30000	26363.60000
94	Spectrogram 1	1	4687.213090000	4688.163783000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	309.604900	23636.40000	28181.80000
95	Spectrogram 1	1	4689.053390000	4689.586942000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	311.445200	24090.90000	28636.40000
96	Spectrogram 1	1	4693.542990000	4694.530547000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	315.934800	24545.50000	28636.40000
97	Spectrogram 1	1	4694.625590000	4695.042731000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	317.017400	23636.40000	26818.20000
98	Spectrogram 1	1	4695.103890000	4695.512300000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	317.495700	23636.40000	28181.80000
99	Spectrogram 1	1	4695.603490000	4695.624832000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	317.995300	38636.40000	45000.00000
100	Spectrogram 1	1	4695.643190000	4696.168981000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	318.035000	23636.40000	26818.20000
101	Spectrogram 1	1	4703.849290000	4704.897963000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	326.241100	23636.40000	29090.90000
102	Spectrogram 1	1	4708.722990000	4709.584435000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	331.114800	23636.40000	30000.00000
103	Spectrogram 1	1	4710.682590000	4711.512992000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	333.074400	21363.60000	28181.80000
104	Spectrogram 1	1	4712.770290000	4713.657926000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	335.162100	22727.30000	27272.70000
105	Spectrogram 1	1	4714.582390000	4714.595971000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	336.974200	49545.50000	54090.90000
106	Spectrogram 1	1	4714.590190000	4716.487696000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	336.982000	20454.50000	32727.30000
107	Spectrogram 1	1	4718.468590000	4719.473609000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	340.860400	21818.20000	28181.80000
108	Spectrogram 1	1	4721.672790000	4721.689282000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	344.064600	43636.40000	49545.50000
109	Spectrogram 1	1	4721.693190000	4722.547844000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	344.085000	22272.70000	30000.00000
110	Spectrogram 1	1	4723.486890000	4723.502412000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	345.878700	41363.60000	47272.70000
111	Spectrogram 1	1	4723.505290000	4724.201818000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	345.897100	23181.80000	29090.90000
112	Spectrogram 1	1	4727.384690000	4728.268447000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	349.776500	24090.90000	27727.30000
113	Spectrogram 1	1	4732.115890000	4732.889056000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	354.507700	23181.80000	29090.90000
114	Spectrogram 1	1	4732.958890000	4733.384762000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	355.350700	22727.30000	27272.70000
115	Spectrogram 1	1	4734.397590000	4734.418932000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	356.789400	40454.50000	47272.70000
116	Spectrogram 1	1	4734.426690000	4734.985464000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	356.818500	23181.80000	27727.30000
117	Spectrogram 1	1	4736.017590000	4736.049603000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	358.409400	48181.80000	58636.40000
118	Spectrogram 1	1	4736.049590000	4736.548219000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	358.441400	23181.80000	33181.80000
119	Spectrogram 1	1	4736.930490000	4736.996457000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	359.322300	46363.60000	55454.50000
120	Spectrogram 1	1	4744.137290000	4744.976423000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	366.529100	24090.90000	31818.20000
121	Spectrogram 1	1	4751.754490000	4752.789582000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	374.146300	22272.70000	28181.80000
122	Spectrogram 1	1	4756.029690000	4756.491456000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	378.421500	22727.30000	27272.70000
123	Spectrogram 1	1	4756.727190000	4757.807876000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	379.119000	20454.50000	25909.10000
124	Spectrogram 1	1	4783.645390000	4784.757119000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	406.037200	20454.50000	25454.50000
126	Spectrogram 1	1	4790.507890000	4791.486716000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	412.899700	20909.10000	24545.50000
127	Spectrogram 1	1	4791.761190000	4792.679870000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	414.153000	20454.50000	25454.50000
128	Spectrogram 1	1	4799.260090000	4799.959528000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	421.651900	24545.50000	28636.40000
129	Spectrogram 1	1	4800.027390000	4800.577434000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	422.419200	23636.40000	26363.60000
130	Spectrogram 1	1	4802.779590000	4803.486790000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	425.171400	24545.50000	28181.80000
131	Spectrogram 1	1	4803.543990000	4804.008599474	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	425.935800	24090.90000	29090.90000
132	Spectrogram 1	1	4811.736490000	4812.698824000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	434.128300	23636.40000	28636.40000
133	Spectrogram 1	1	4812.799690000	4813.421521000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	435.191500	22727.30000	26363.60000
134	Spectrogram 1	1	4813.930790000	4813.952132000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	436.322600	42727.30000	52727.30000
135	Spectrogram 1	1	4813.963790000	4814.348918000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	436.355600	24090.90000	28181.80000
136	Spectrogram 1	1	4816.830390000	4817.547290000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	439.222200	24545.50000	29545.50000
137	Spectrogram 1	1	4818.036290000	4818.579544000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	440.428100	23636.40000	27272.70000
138	Spectrogram 1	1	4819.591290000	4819.614572000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	441.983100	51363.60000	60000.00000
139	Spectrogram 1	1	4819.608790000	4821.410257000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	442.000600	22727.30000	34090.90000
140	Spectrogram 1	1	4831.270290000	4832.349036000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	453.662100	21818.20000	28636.40000
141	Spectrogram 1	1	4832.434390000	4833.269642000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	454.826200	21363.60000	25454.50000
142	Spectrogram 1	1	4836.780390000	4837.639894000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	459.172200	23636.40000	29090.90000
143	Spectrogram 1	1	4841.135190000	4841.961711000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	463.527000	23181.80000	29090.90000
144	Spectrogram 1	1	4842.038290000	4842.733848000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	464.430100	21363.60000	25454.50000
145	Spectrogram 1	1	4842.807590000	4843.426511000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	465.199400	22272.70000	26363.60000
146	Spectrogram 1	1	4849.375190000	4850.148356000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	471.767000	24090.90000	29090.90000
147	Spectrogram 1	1	4850.213290000	4850.528571000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	472.605100	22727.30000	26363.60000
148	Spectrogram 1	1	4850.604290000	4851.061204000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	472.996100	22272.70000	26363.60000
149	Spectrogram 1	1	4856.838090000	4857.845049000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	479.229900	21363.60000	28181.80000
150	Spectrogram 1	1	4857.952790000	4858.794833000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	480.344600	21363.60000	25454.50000
151	Spectrogram 1	1	4858.921890000	4859.703787000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	481.313700	21818.20000	25909.10000
152	Spectrogram 1	1	4865.213890000	4866.183015000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	487.605700	21818.20000	28636.40000
153	Spectrogram 1	1	4866.302390000	4867.158984000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	488.694200	22272.70000	25909.10000
154	Spectrogram 1	1	4867.385990000	4868.287662744	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	489.777800	21818.20000	26363.60000
155	Spectrogram 1	1	4874.068890000	4875.136965000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	496.460700	21363.60000	27727.30000
156	Spectrogram 1	1	4875.248590000	4875.978101000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	497.640400	20454.50000	25454.50000
157	Spectrogram 1	1	4876.212890000	4876.751293000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	498.604700	21363.60000	25909.10000
158	Spectrogram 1	1	4880.039890000	4880.860590000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	502.431700	22272.70000	28636.40000
159	Spectrogram 1	1	4882.571790000	4882.608653000	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	504.963600	44545.50000	50909.10000
