Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	selec.file	old.selec
28.018379627	28.036682532	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	28.018379627	17	Spectrogram 1	1	47319.5	58260.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	17
28.149460726	28.173146838	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	28.149460726	18	Spectrogram 1	1	47593	65919	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	18
28.302612975	28.311495267	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	28.302612975	19	Spectrogram 1	1	47593	57166.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	19
28.547274593	28.564500856	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	28.547274593	20	Spectrogram 1	1	48413.6	61269.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	20
28.994405855	29.029396703	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	28.994405855	21	Spectrogram 1	1	44857.8	67286.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	21
29.289674778	29.29882623	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	29.289674778	22	Spectrogram 1	1	46772.4	59081	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	22
29.449544495	29.484535342	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	29.449544495	23	Spectrogram 1	1	49781.2	62910.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	23
29.609156592	29.654913855	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	29.609156592	24	Spectrogram 1	1	51148.8	67560.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	24
29.774397499	29.827152931	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	29.774397499	25	Spectrogram 1	1	50601.8	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	25
30.205153104	30.224532651	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	30.205153104	26	Spectrogram 1	1	47046	60448.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	26
30.34161741	30.384952229	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	30.34161741	27	Spectrogram 1	1	46772.4	60448.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	27
30.511188441	30.530567988	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	30.511188441	28	Spectrogram 1	1	50328.2	62363.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	28
30.639176727	30.682780707	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	30.639176727	29	Spectrogram 1	1	47593	60448.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	29
30.93651075	30.980922211	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	30.93651075	30	Spectrogram 1	1	52516.4	63183.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	30
31.600288147	31.620744335	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	31.600288147	31	Spectrogram 1	1	49234.1	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	31
34.760361924	34.785124678	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	34.760361924	32	Spectrogram 1	1	48140	60722.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	32
34.922934786	34.943390974	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	34.922934786	33	Spectrogram 1	1	49234.1	58807.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	33
35.205594713	35.221744335	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	35.205594713	34	Spectrogram 1	1	47319.5	59354.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	34
35.34232818	35.360361924	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	35.34232818	35	Spectrogram 1	1	48140	59628	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	35
36.464411347	36.515013496	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	36.464411347	36	Spectrogram 1	1	42669.6	59628	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	36
36.778521495	36.812435701	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	36.778521495	37	Spectrogram 1	1	46772.4	62363.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	37
37.392763436	37.411873822	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	37.392763436	38	Spectrogram 1	1	49234.1	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	38
37.611052494	37.630701201	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	37.611052494	39	Spectrogram 1	1	47319.5	62636.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	39
37.91543777	37.927011665	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	37.91543777	40	Spectrogram 1	1	49781.2	59354.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	40
38.067782537	38.095775215	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	38.067782537	41	Spectrogram 1	1	48960.6	63730.9	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	41
38.214744098	38.236546087	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	38.214744098	42	Spectrogram 1	1	51695.8	65919	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	42
38.233992511	38.239914039	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	38.233992511	43	Spectrogram 1	1	71663	84245.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	43
42.477114262	42.520987402	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	42.477114262	44	Spectrogram 1	1	44857.8	59081	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	44
42.791493571	42.819486249	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	42.791493571	45	Spectrogram 1	1	47319.5	63183.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	45
45.385702235	45.422577205	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	45.385702235	46	Spectrogram 1	1	48413.6	61816.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	47
47.765798215	47.80617227	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	47.765798215	47	Spectrogram 1	1	47593	58533.9	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	48
47.955556274	47.965515207	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	47.955556274	48	Spectrogram 1	1	47593	57166.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	49
49.150542664	49.179611984	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	49.150542664	49	Spectrogram 1	1	47866.5	59354.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	50
49.310154762	49.321728658	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	49.310154762	50	Spectrogram 1	1	49234.1	58533.9	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	51
51.454607527	51.496865704	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	51.454607527	51	Spectrogram 1	1	47319.5	62636.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	52
51.622832756	51.733995988	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	51.622832756	52	Spectrogram 1	1	47319.5	63183.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	53
52.814193998	52.827382856	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	52.814193998	53	Spectrogram 1	1	46225.4	60175.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	54
54.821679473	54.839174897	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	54.821679473	54	Spectrogram 1	1	47319.5	58260.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	55
56.319027105	56.331677643	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	56.319027105	55	Spectrogram 1	1	47866.5	60722.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	56
58.050353806	58.063273504	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	58.050353806	56	Spectrogram 1	1	48140	57986.9	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	57
59.107838247	59.121027105	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	59.107838247	57	Spectrogram 1	1	50601.8	72757.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	58
59.682537173	59.735292605	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	59.682537173	58	Spectrogram 1	1	44857.8	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	59
60.526756114	60.556363755	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	60.526756114	59	Spectrogram 1	1	46772.4	64551.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	60
60.67748592	60.725396465	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	60.67748592	60	Spectrogram 1	1	47319.5	65098.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	61
60.87865122	60.885111069	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	60.87865122	61	Spectrogram 1	1	75218.8	90809.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	62
60.85684923	60.879727861	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	60.85684923	62	Spectrogram 1	1	46498.9	63457.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	63
61.261888466	61.287189541	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	61.261888466	63	Spectrogram 1	1	47593	65645.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	64
61.811027105	61.836866501	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	61.811027105	64	Spectrogram 1	1	47593	61542.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	65
61.958796147	62.002130966	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	61.958796147	65	Spectrogram 1	1	50328.2	65645.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	66
62.131858382	62.194303588	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	62.131858382	66	Spectrogram 1	1	48960.6	61542.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	67
62.352031563	62.404248674	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	62.352031563	67	Spectrogram 1	1	49234.1	61816.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	68
62.734944972	62.778279792	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	62.734944972	68	Spectrogram 1	1	44037.2	60175.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	69
63.201979751	63.228088307	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	63.201979751	69	Spectrogram 1	1	46225.4	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	70
63.351632915	63.368590018	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	63.351632915	70	Spectrogram 1	1	47866.5	56892.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	71
66.733905737	66.798504225	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	66.733905737	71	Spectrogram 1	1	44037.2	60722.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	72
68.306233234	68.336917516	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	68.306233234	72	Spectrogram 1	1	45131.3	56892.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	73
68.600095629	68.632933193	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	68.600095629	73	Spectrogram 1	1	47319.5	60995.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	74
68.759976887	68.775319028	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	68.759976887	74	Spectrogram 1	1	48413.6	61269.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	75
68.901016919	68.929009597	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	68.901016919	75	Spectrogram 1	1	49507.7	62363.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	76
69.689623763	69.706850026	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	69.689623763	76	Spectrogram 1	1	45131.3	62636.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	77
71.727331841	71.733522529	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	71.727331841	77	Spectrogram 1	1	50054.7	59628	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	78
72.259746962	72.292853687	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	72.259746962	78	Spectrogram 1	1	50601.8	65372	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	79
73.032650423	73.04449348	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	73.032650423	79	Spectrogram 1	1	43763.7	56892.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	80
73.413781503	73.428047003	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	73.413781503	80	Spectrogram 1	1	45678.3	61269.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	81
76.626090137	76.632549986	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	76.626090137	81	Spectrogram 1	1	60995.6	72483.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	82
77.443467853	77.516410313	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	77.443467853	82	Spectrogram 1	1	42943.1	57713.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	83
78.398467167	78.429958929	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	78.398467167	83	Spectrogram 1	1	41849	67560.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	84
78.699289978	78.729435939	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	78.699289978	84	Spectrogram 1	1	43490.2	62910.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	85
79.418101916	79.426984208	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	79.418101916	85	Spectrogram 1	1	44857.8	56619.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	86
79.673755318	79.689097459	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	79.673755318	86	Spectrogram 1	1	49234.1	63183.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	87
79.795415804	79.816141152	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	79.795415804	87	Spectrogram 1	1	44857.8	64551.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	88
80.103647559	80.131371077	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	80.103647559	88	Spectrogram 1	1	45951.9	68927.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	89
80.281024241	80.293674778	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	80.281024241	89	Spectrogram 1	1	44037.2	59628	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	90
80.415862043	80.440355637	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	80.415862043	90	Spectrogram 1	1	46225.4	59901.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	91
80.565246047	80.578165745	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	80.565246047	91	Spectrogram 1	1	43216.6	57166.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	92
80.69202058	80.745314333	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	80.69202058	92	Spectrogram 1	1	46772.4	57986.9	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	93
80.854788029	80.902160253	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	80.854788029	93	Spectrogram 1	1	48960.6	60722.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	94
81.62577991	81.647043579	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	81.62577991	94	Spectrogram 1	1	42396.1	57439.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	95
81.904630598	81.922933503	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	81.904630598	95	Spectrogram 1	1	44037.2	72483.6	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	96
81.924010145	81.931546635	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	81.924010145	96	Spectrogram 1	1	63457.3	84792.1	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	97
82.079855518	82.127766063	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	82.079855518	97	Spectrogram 1	1	45131.3	68107.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	98
83.155491649	83.160336536	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.155491649	98	Spectrogram 1	1	80689.3	91903.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	99
83.164912262	83.171641271	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.164912262	99	Spectrogram 1	1	76860	91903.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	100
83.322909397	83.353593679	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.322909397	100	Spectrogram 1	1	45678.3	63183.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	101
83.524779673	83.547927464	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.524779673	101	Spectrogram 1	1	45951.9	59354.5	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	102
83.546251538	83.56186284	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.546251538	102	Spectrogram 1	1	60995.6	74671.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	103
83.827176727	83.841980548	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.827176727	103	Spectrogram 1	1	47046	55798.7	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	104
83.96875508	83.987057985	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	83.96875508	104	Spectrogram 1	1	45678.3	57439.8	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	105
84.128420261	84.177676608	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	84.128420261	105	Spectrogram 1	1	42943.1	62363.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	106
84.836626628	84.846854721	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	84.836626628	106	Spectrogram 1	1	58807.4	68107.2	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	107
84.998661168	85.047917516	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	84.998661168	107	Spectrogram 1	1	47593	64004.4	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	108
96.224357229	96.253426549	TH-01.wav	/home/m/Dropbox/Recordings/ratas_cin/recs/original_with_bedding/TH-01.wav	96.224357229	108	Spectrogram 1	1	50328.2	63457.3	TH-01 (T2019-09-03_08-31-42_0000001).Table.1.selections.txt	111
