Begin Time (s)	End Time (s)	Begin File	Begin Path	File Offset (s)	Selection	View	Channel	Low Freq (Hz)	High Freq (Hz)	type	subtype	selec.file
4387.471081641	4388.498222972	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	9.862891641	22	Spectrogram 1	1	20909.1	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4388.631284253	4389.653756849	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	11.023094253	23	Spectrogram 1	1	20909.1	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4396.934788135	4398.116000768	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	19.326598135	26	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4398.263068744	4398.508182038	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	20.654878744	27	Spectrogram 1	1	21363.6	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4404.290520961	4405.390029163	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	26.682330961	30	Spectrogram 1	1	20909.1	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4405.544100357	4406.274771413	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	27.935910357	31	Spectrogram 1	1	21363.6	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4414.463888411	4415.425666287	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	36.855698411	33	Spectrogram 1	1	20909.1	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4415.523711555	4416.427129122	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	37.915521555	34	Spectrogram 1	1	20909.1	24090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4422.256156335	4423.054525348	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	44.647966335	36	Spectrogram 1	1	20454.5	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4424.422490829	4425.61070659	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	46.814300829	38	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4435.681360813	4436.834560499	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	58.073170813	41	Spectrogram 1	1	20909.1	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4437.004972504	4438.183850725	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	59.396782504	42	Spectrogram 1	1	20909.1	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4441.697139155	4442.82932913	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	64.088949155	44	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4447.302062159	4448.464599494	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	69.693872159	46	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4448.604664182	4449.57811412	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	70.996474182	47	Spectrogram 1	1	21363.6	25909.1	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4458.989030395	4460.150234372	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	81.380840395	49	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4464.815422575	4466.049383631	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	87.207232575	51	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4466.200719248	4467.432740117	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	88.592529248	52	Spectrogram 1	1	21363.6	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4471.868015761	4472.329781069	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	94.259825761	53	Spectrogram 1	1	21818.2	27272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4473.458001642	4474.746288049	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	95.849811642	54	Spectrogram 1	1	20909.1	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4479.139849869	4480.350528661	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	101.531659869	55	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4484.21635785	4485.006015331	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	106.60816785	56	Spectrogram 1	1	23636.4	27272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4488.362545169	4489.643070749	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	110.754355169	57	Spectrogram 1	1	20909.1	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4489.80022617	4490.914865538	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	112.19203617	58	Spectrogram 1	1	20454.5	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4491.039037701	4492.171138783	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	113.430847701	59	Spectrogram 1	1	20909.1	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4497.056538297	4498.306990991	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	119.448348297	60	Spectrogram 1	1	20454.5	26818.2	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4498.448624741	4499.527370588	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	120.840434741	61	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4516.143159814	4517.208324328	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	138.534969814	62	Spectrogram 1	1	20909.1	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4521.361301593	4521.663971291	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	143.753111593	63	Spectrogram 1	1	22272.7	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4522.973599617	4523.973767753	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	145.365409617	64	Spectrogram 1	1	20454.5	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4524.474336735	4525.475474967	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	146.866146735	65	Spectrogram 1	1	21363.6	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4529.030874469	4530.086338031	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	151.422684469	66	Spectrogram 1	1	20909.1	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4530.426842008	4531.739380794	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	152.818652008	67	Spectrogram 1	1	20909.1	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4539.192622938	4539.972579467	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	161.584432938	68	Spectrogram 1	1	20909.1	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4546.126863206	4546.952414209	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	168.518673206	69	Spectrogram 1	1	20909.1	24090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4547.082407094	4548.240700746	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	169.474217094	70	Spectrogram 1	1	20909.1	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4549.015807474	4551.049126983	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	171.407617474	71	Spectrogram 1	1	20909.1	33181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4558.014411684	4558.964134871	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	180.406221684	72	Spectrogram 1	1	20454.5	24545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4565.65294223	4566.27962372	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	188.04475223	73	Spectrogram 1	1	20454.5	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4572.737547979	4573.912333249	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	195.129357979	74	Spectrogram 1	1	20909.1	25000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4580.409060496	4581.857412608	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	202.800870496	75	Spectrogram 1	1	20909.1	28181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4581.973824005	4582.968171571	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	204.365634005	76	Spectrogram 1	1	21363.6	24090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4617.829511693	4618.836470496	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	240.221321693	77	Spectrogram 1	1	22727.3	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4624.760841676	4625.268201458	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	247.152651676	78	Spectrogram 1	1	22272.7	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4627.862235517	4628.649952808	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	250.254045517	79	Spectrogram 1	1	23636.4	31363.6	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4628.891506492	4629.594825502	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	251.283316492	80	Spectrogram 1	1	22727.3	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4641.988761076	4642.863786933	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	264.380571076	81	Spectrogram 1	1	22727.3	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4647.276748918	4648.013051164	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	269.668558918	82	Spectrogram 1	1	23181.8	29545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4650.107486246	4652.088419705	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	272.499296246	83	Spectrogram 1	1	20909.1	31363.6	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4654.867741008	4655.827165147	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	277.259551008	84	Spectrogram 1	1	22272.7	29545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4656.112372974	4656.978667975	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	278.504182974	85	Spectrogram 1	1	20909.1	26818.2	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4661.371258031	4662.326801789	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	283.763068031	86	Spectrogram 1	1	23181.8	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4662.558654522	4663.267794102	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	284.950464522	87	Spectrogram 1	1	22727.3	26818.2	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4665.553337936	4666.065548194	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	287.945147936	88	Spectrogram 1	1	23636.4	27272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4668.462653207	4669.436628734	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	290.854463207	89	Spectrogram 1	1	23181.8	28636.4	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4674.062042354	4675.309584904	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	296.453852354	90	Spectrogram 1	1	20909.1	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4675.447338264	4676.568768298	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	297.839148264	91	Spectrogram 1	1	20454.5	25454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4682.758424975	4683.578155407	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	305.150234975	92	Spectrogram 1	1	23181.8	29090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4683.656733098	4684.307666967	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	306.048543098	93	Spectrogram 1	1	22727.3	26363.6	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4687.213101583	4688.163794865	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	309.604911583	94	Spectrogram 1	1	23636.4	28181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4689.053371975	4689.586924328	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	311.445181975	95	Spectrogram 1	1	24090.9	28636.4	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4693.542971004	4694.530527903	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	315.934781004	96	Spectrogram 1	1	24545.5	28636.4	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4694.625597074	4695.042738004	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	317.017407074	97	Spectrogram 1	1	23636.4	26818.2	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4695.103854	4695.512264074	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	317.495664	98	Spectrogram 1	1	23636.4	28181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4695.603452916	4695.624795011	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	317.995262916	99	Spectrogram 1	1	38636.4	45000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4695.643226819	4696.16901841	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	318.035036819	100	Spectrogram 1	1	23636.4	26818.2	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4703.84926114	4704.897934036	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	326.24107114	101	Spectrogram 1	1	23636.4	29090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4708.723018988	4709.584463513	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	331.114828988	102	Spectrogram 1	1	23636.4	30000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4710.682611088	4711.513012567	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	333.074421088	103	Spectrogram 1	1	21363.6	28181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4712.770255848	4713.657891976	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	335.162065848	104	Spectrogram 1	1	22727.3	27272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4714.582392514	4714.595973846	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	336.974202514	105	Spectrogram 1	1	49545.5	54090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4714.590153275	4716.487659458	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	336.981963275	106	Spectrogram 1	1	20454.5	32727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4718.468591269	4719.473609881	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	340.860401269	107	Spectrogram 1	1	21818.2	28181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4721.672815413	4721.689307031	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	344.064625413	108	Spectrogram 1	1	43636.4	49545.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4721.693187411	4722.547841113	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	344.084997411	109	Spectrogram 1	1	22272.7	30000	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4723.486893095	4723.502414618	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	345.878703095	110	Spectrogram 1	1	41363.6	47272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4723.505324904	4724.201853247	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	345.897134904	111	Spectrogram 1	1	23181.8	29090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4727.384735314	4728.268492028	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	349.776545314	112	Spectrogram 1	1	24090.9	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4732.115889029	4732.889054892	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	354.507699029	113	Spectrogram 1	1	23181.8	29090.9	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4732.958901728	4733.384773515	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	355.350711728	114	Spectrogram 1	1	22727.3	27272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4734.397552731	4734.418894825	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	356.789362731	115	Spectrogram 1	1	40454.5	47272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4734.426655587	4734.985430397	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	356.818465587	116	Spectrogram 1	1	23181.8	27727.3	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4736.017611517	4736.049624658	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	358.409421517	117	Spectrogram 1	1	48181.8	58636.4	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4736.049624658	4736.548253584	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	358.441434658	118	Spectrogram 1	1	23181.8	33181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4736.93047107	4736.996437542	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	359.32228107	119	Spectrogram 1	1	46363.6	55454.5	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4744.137307367	4744.976439703	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	366.529117367	120	Spectrogram 1	1	24090.9	31818.2	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4751.754494068	4752.789585631	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	374.146304068	121	Spectrogram 1	1	22272.7	28181.8	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
4756.029703274	4756.491468583	T0000011.WAV	/home/m/Dropbox/Recordings/ratas_cin/full_recs/converted_sound_files/T0000011.WAV	378.421513274	122	Spectrogram 1	1	22727.3	27272.7	NA	NA	A_AMPH_15-45_estres_parte2_Audio T0000011.txt
