"selec","View","Channel","start","end","bottom.freq","top.freq","selec.file","sound.files","peak.freq"
11,"Spectrogram 1",1,101.770841187,101.798273154,25.1241,50.2481,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",38.0859375
12,"Spectrogram 1",1,103.275368636,103.309450777,38.1514,53.9702,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",47.8515625
13,"Spectrogram 1",1,108.55825336,108.572384979,40.0124,62.9653,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",46.2890625
14,"Spectrogram 1",1,109.285620987,109.314715498,56.7618,71.0298,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",65.0390625
15,"Spectrogram 1",1,114.23839677,114.24781785,36.9107,44.9752,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",40.8203125
16,"Spectrogram 1",1,115.226323605,115.258189021,39.3921,50.2481,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",45.8984375
17,"Spectrogram 1",1,119.389747605,119.404156315,21.7122,45.2854,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",39.2578125
18,"Spectrogram 1",1,119.72410688,119.742394858,32.5682,45.5955,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",41.2109375
19,"Spectrogram 1",1,137.739901043,137.773429002,49.3176,66.6873,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",63.0859375
20,"Spectrogram 1",1,140.27401288,140.292300858,21.7122,36.6005,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",30.2734375
21,"Spectrogram 1",1,149.182572991,149.210004958,64.206,78.1638,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",74.8046875
22,"Spectrogram 1",1,155.120504702,155.137407227,47.1464,56.4516,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",52.1484375
23,"Spectrogram 1",1,254.874478004,254.881128178,75.3722,91.1911,"CageTest0_A_5min_2021-10-29_09-20-13_0000003.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-20-13_0000003.wav",84.1796875
1,"Spectrogram 1",1,89.2429297,89.249369156,67.6346,75.779,"CageTest0_A_5min_2021-10-29_09-30-15_0000004.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-30-15_0000004.wav",72.0703125
2,"Spectrogram 1",1,281.121733161,281.135417003,39.3059,50.6374,"CageTest0_A_5min_2021-10-29_09-30-15_0000004.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-30-15_0000004.wav",41.6015625
1,"Spectrogram 1",1,0.120681767,0.150008734,57.2917,76.2649,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.9453125
2,"Spectrogram 1",1,0.328046782,0.361266709,56.9196,74.0327,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",66.9921875
3,"Spectrogram 1",1,0.672184379,0.689832465,62.128,70.6845,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.8203125
4,"Spectrogram 1",1,0.980247299,1.009055204,55.8036,69.9405,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",61.5234375
501,"Spectrogram 1",1,1.247823388,1.265990536,55.4315,66.9643,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",59.9609375
5,"Spectrogram 1",1,1.274555048,1.297134218,60.2679,71.4286,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.0390625
6,"Spectrogram 1",1,1.374212781,1.455964946,30.506,43.5268,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",37.3046875
7,"Spectrogram 1",1,1.73833129,1.765841542,36.0863,46.131,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",40.0390625
8,"Spectrogram 1",1,2.149423917,2.194322725,58.7798,76.2649,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.1640625
9,"Spectrogram 1",1,2.365870665,2.39441904,52.0833,62.128,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",56.4453125
10,"Spectrogram 1",1,2.514841092,2.564151921,52.4554,79.6131,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.0859375
11,"Spectrogram 1",1,2.640453942,2.663033111,50.9673,62.5,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",58.0078125
19,"Spectrogram 1",1,3.386598781,3.422154484,31.25,43.1548,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",38.4765625
20,"Spectrogram 1",1,3.714901993,3.754350656,33.8542,44.2708,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",38.8671875
21,"Spectrogram 1",1,5.668888923,5.715085384,36.8304,47.619,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",41.9921875
22,"Spectrogram 1",1,6.344181507,6.369355983,37.5744,50.2232,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",43.5546875
25,"Spectrogram 1",1,6.549873667,6.559216772,27.5298,41.6667,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",31.0546875
23,"Spectrogram 1",1,6.634999731,6.66147186,62.5,79.9851,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.9453125
26,"Spectrogram 1",1,6.850831102,6.860174207,56.5476,67.3363,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.4765625
27,"Spectrogram 1",1,7.077141857,7.103094925,54.3155,72.1726,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",62.6953125
28,"Spectrogram 1",1,7.399103809,7.417530488,52.0833,65.1042,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",59.9609375
32,"Spectrogram 1",1,7.627599904,7.698711311,51.3393,71.0565,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.4296875
33,"Spectrogram 1",1,7.901142626,7.935660207,31.25,43.8988,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",38.8671875
34,"Spectrogram 1",1,8.114475296,8.124596993,59.5238,73.2887,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",66.6015625
35,"Spectrogram 1",1,8.299241822,8.311958826,55.4315,66.5923,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",57.2265625
36,"Spectrogram 1",1,8.393710991,8.418366405,52.4554,61.756,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",58.7890625
37,"Spectrogram 1",1,8.568876856,8.58574635,59.5238,69.1964,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.0390625
38,"Spectrogram 1",1,9.530985376,9.545000033,60.2679,77.381,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",69.7265625
42,"Spectrogram 1",1,9.76654108,9.789120249,37.9464,52.0833,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",44.7265625
43,"Spectrogram 1",1,10.150075066,10.16279207,18.2292,25.6696,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",20.8984375
44,"Spectrogram 1",1,10.603636482,10.614017709,61.3839,73.2887,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.1640625
46,"Spectrogram 1",1,10.93142369,10.941026325,59.1518,74.0327,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",69.7265625
48,"Spectrogram 1",1,11.239371046,11.295948734,32.7381,44.6429,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",38.0859375
49,"Spectrogram 1",1,11.484368009,11.495787359,79.6131,93.378,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",85.3515625
50,"Spectrogram 1",1,11.683670105,11.715592379,56.1756,71.0565,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.0859375
51,"Spectrogram 1",1,11.957976567,11.97796043,57.2917,69.1964,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.8203125
52,"Spectrogram 1",1,12.069055699,12.082551295,58.7798,69.9405,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.8203125
53,"Spectrogram 1",1,12.330985376,12.3514883,35.7143,52.4554,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",43.5546875
54,"Spectrogram 1",1,12.587303534,12.623897361,57.2917,76.6369,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.9453125
55,"Spectrogram 1",1,12.830206784,12.855640791,36.4583,47.619,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",41.6015625
56,"Spectrogram 1",1,13.076403246,13.103913498,59.8958,77.753,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",70.5078125
62,"Spectrogram 1",1,13.902696532,13.925794763,57.6637,70.3125,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",64.6484375
63,"Spectrogram 1",1,14.552705266,14.571651006,61.756,74.0327,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.9453125
66,"Spectrogram 1",1,15.475284436,15.507206709,52.4554,65.4762,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",56.4453125
67,"Spectrogram 1",1,15.730206784,15.764205304,33.1101,42.0387,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",36.9140625
68,"Spectrogram 1",1,15.844140754,15.860750717,58.7798,76.2649,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.0390625
69,"Spectrogram 1",1,15.935137867,15.981334329,32.7381,43.1548,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",38.0859375
72,"Spectrogram 1",1,16.19327274,16.224416422,52.4554,62.872,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",59.1796875
73,"Spectrogram 1",1,16.401058661,16.433240465,55.8036,68.4524,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",66.2109375
74,"Spectrogram 1",1,16.609963391,16.62475664,32.7381,50.9673,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",40.8203125
81,"Spectrogram 1",1,17.606589492,17.663686242,29.0179,44.2708,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",37.3046875
82,"Spectrogram 1",1,17.875365123,17.919485339,50.5952,69.9405,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.4765625
83,"Spectrogram 1",1,18.259274221,18.267838733,65.1042,74.4048,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",69.7265625
84,"Spectrogram 1",1,18.353385702,18.371293319,56.5476,68.4524,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.0859375
85,"Spectrogram 1",1,18.374488375,18.382014765,47.9911,62.128,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",57.6171875
86,"Spectrogram 1",1,18.713596821,18.726832885,52.4554,60.2679,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",55.6640625
87,"Spectrogram 1",1,18.866979454,18.882032233,49.4792,60.2679,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",56.8359375
88,"Spectrogram 1",1,18.892413461,18.91109967,56.1756,71.0565,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.0859375
89,"Spectrogram 1",1,19.022420864,19.060312343,53.5714,70.6845,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",59.5703125
90,"Spectrogram 1",1,19.432802091,19.457976567,53.1994,62.128,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",57.2265625
91,"Spectrogram 1",1,20.127513351,20.152428296,53.9435,68.0804,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.4765625
92,"Spectrogram 1",1,20.162030932,20.177343242,55.8036,70.3125,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",63.8671875
93,"Spectrogram 1",1,20.425016171,20.442404726,59.1518,69.5685,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",65.0390625
94,"Spectrogram 1",1,20.575024905,20.627450103,33.1101,46.503,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",38.8671875
95,"Spectrogram 1",1,20.808602452,20.850386892,29.7619,42.7827,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",35.3515625
96,"Spectrogram 1",1,20.94874902,20.970549598,53.1994,63.244,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",57.2265625
97,"Spectrogram 1",1,20.990239059,21.003994185,56.1756,69.1964,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",64.6484375
98,"Spectrogram 1",1,21.358137942,21.394731768,58.4077,74.7768,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",68.1640625
99,"Spectrogram 1",1,21.880117363,21.90944433,52.8274,69.9405,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",61.9140625
100,"Spectrogram 1",1,22.131763968,22.144480972,53.9435,73.6607,"CageTest0_A_5min_2021-10-29_09-39-57_0000005.Table.1.selections.txt","CageTest0_A_5min_2021-10-29_09-39-57_0000005.wav",60.3515625
