Selection	View	Channel	Begin Time (s)	End Time (s)	Begin File	Low Freq (Hz)	High Freq (Hz)	type	subtype
50	Spectrogram 1	1	1063.320992832	1063.370200000	T0000015 sinmarcas.wav	65074.906	83801.498	50	NA
51	Spectrogram 1	1	1072.379800000	1072.401275214	T0000015 sinmarcas.wav	50561.798	55711.610	50	NA
52	Spectrogram 1	1	1073.663068378	1073.701200000	T0000015 sinmarcas.wav	66947.566	82397.004	50	NA
53	Spectrogram 1	1	1073.899285054	1073.917551413	T0000015 sinmarcas.wav	63670.412	71161.049	50	NA
54	Spectrogram 1	1	1085.569618378	1085.601100000	T0000015 sinmarcas.wav	63202.247	76779.026	50	NA
55	Spectrogram 1	1	1085.714800000	1085.745557267	T0000015 sinmarcas.wav	51029.963	58520.599	50	NA
56	Spectrogram 1	1	1097.026668378	1097.053373388	T0000015 sinmarcas.wav	71161.049	80056.180	50	NA
57	Spectrogram 1	1	1106.722123615	1106.771788289	T0000015 sinmarcas.wav	50561.798	58052.434	50	NA
58	Spectrogram 1	1	1108.923339261	1108.948473388	T0000015 sinmarcas.wav	51966.292	57584.270	50	NA
59	Spectrogram 1	1	1112.509800000	1112.543200000	T0000015 sinmarcas.wav	55243.446	61797.753	50	NA
60	Spectrogram 1	1	1112.716700000	1112.753492584	T0000015 sinmarcas.wav	51966.292	60861.423	50	NA
61	Spectrogram 1	1	1118.593034615	1118.619100000	T0000015 sinmarcas.wav	67883.895	82865.169	50	NA
62	Spectrogram 1	1	1120.938900000	1120.959400000	T0000015 sinmarcas.wav	64138.577	75374.532	50	NA
63	Spectrogram 1	1	1129.810900000	1129.843100000	T0000015 sinmarcas.wav	61329.588	82865.169	50	NA
64	Spectrogram 1	1	1130.696600000	1130.748398861	T0000015 sinmarcas.wav	46348.315	52902.622	50	NA
65	Spectrogram 1	1	1139.582800000	1139.617100000	T0000015 sinmarcas.wav	63670.412	81928.839	50	NA
66	Spectrogram 1	1	1141.282372793	1141.304624305	T0000015 sinmarcas.wav	58728.448	67349.138	50	NA
67	Spectrogram 1	1	1142.557600000	1142.596000000	T0000015 sinmarcas.wav	50107.759	53879.310	50	NA
68	Spectrogram 1	1	1143.033800000	1143.080400000	T0000015 sinmarcas.wav	60344.828	71659.483	50	NA
69	Spectrogram 1	1	1143.253065103	1143.297049826	T0000015 sinmarcas.wav	45258.621	53340.517	50	NA
70	Spectrogram 1	1	1143.705313963	1143.746156920	T0000015 sinmarcas.wav	61961.207	71120.690	50	NA
71	Spectrogram 1	1	1144.231559747	1144.272402703	T0000015 sinmarcas.wav	59806.034	71659.483	50	NA
72	Spectrogram 1	1	1144.686000000	1144.733806920	T0000015 sinmarcas.wav	59267.241	73275.862	50	NA
73	Spectrogram 1	1	1144.928596404	1144.957300000	T0000015 sinmarcas.wav	0.000	125000.000	50	NA
74	Spectrogram 1	1	1150.832600000	1150.869184350	T0000015 sinmarcas.wav	51724.138	59806.034	50	NA
75	Spectrogram 1	1	1150.965600000	1151.005851165	T0000015 sinmarcas.wav	66271.552	84051.724	50	NA
76	Spectrogram 1	1	1158.041476017	1158.107000000	T0000015 sinmarcas.wav	44719.828	52801.724	50	NA
77	Spectrogram 1	1	1160.176226143	1160.216500000	T0000015 sinmarcas.wav	63577.586	77047.414	50	NA
78	Spectrogram 1	1	1162.496164559	1162.511300000	T0000015 sinmarcas.wav	70043.103	80280.172	50	NA
79	Spectrogram 1	1	1169.062800000	1169.113000000	T0000015 sinmarcas.wav	48491.379	61422.414	50	NA
80	Spectrogram 1	1	1170.942800000	1170.975860739	T0000015 sinmarcas.wav	54956.897	70043.103	50	NA
81	Spectrogram 1	1	1175.732600000	1175.780063909	T0000015 sinmarcas.wav	48491.379	63577.586	50	NA
82	Spectrogram 1	1	1178.705800000	1178.722760806	T0000015 sinmarcas.wav	63577.586	75969.828	50	NA
83	Spectrogram 1	1	1182.442900000	1182.481300000	T0000015 sinmarcas.wav	47413.793	58728.448	50	NA
84	Spectrogram 1	1	1182.664600000	1182.693300000	T0000015 sinmarcas.wav	66810.345	79202.586	50	NA
85	Spectrogram 1	1	1182.878600000	1182.920633595	T0000015 sinmarcas.wav	64116.379	80280.172	50	NA
86	Spectrogram 1	1	1186.043800000	1186.095000000	T0000015 sinmarcas.wav	64116.379	79202.586	50	NA
87	Spectrogram 1	1	1186.184600000	1186.237400000	T0000015 sinmarcas.wav	47952.586	53340.517	50	NA
88	Spectrogram 1	1	1190.839700000	1190.875852505	T0000015 sinmarcas.wav	52801.724	58728.448	50	NA
89	Spectrogram 1	1	1200.720800000	1200.746589856	T0000015 sinmarcas.wav	54956.897	62500.000	50	NA
90	Spectrogram 1	1	1209.566600000	1209.592200000	T0000015 sinmarcas.wav	52262.931	62500.000	50	NA
91	Spectrogram 1	1	1211.871691146	1211.897897893	T0000015 sinmarcas.wav	51724.138	57112.069	50	NA
92	Spectrogram 1	1	1227.617700000	1227.660200000	T0000015 sinmarcas.wav	48491.379	59806.034	50	NA
93	Spectrogram 1	1	1238.217600000	1238.245300000	T0000015 sinmarcas.wav	62500.000	78125.000	50	NA
94	Spectrogram 1	1	1252.005800000	1252.043200000	T0000015 sinmarcas.wav	52801.724	62500.000	50	NA
95	Spectrogram 1	1	1260.255700000	1260.278100000	T0000015 sinmarcas.wav	61422.414	71120.690	50	NA
96	Spectrogram 1	1	1260.781400000	1260.790670697	T0000015 sinmarcas.wav	61422.414	71120.690	50	NA
97	Spectrogram 1	1	1263.668365251	1263.690100000	T0000015 sinmarcas.wav	54418.103	60344.828	50	NA
98	Spectrogram 1	1	1263.872054582	1263.904100000	T0000015 sinmarcas.wav	52801.724	59806.034	50	NA
99	Spectrogram 1	1	1266.540480065	1266.558400000	T0000015 sinmarcas.wav	67349.138	80818.966	50	NA
100	Spectrogram 1	1	1267.067800000	1267.113400000	T0000015 sinmarcas.wav	64116.379	81357.759	50	NA
101	Spectrogram 1	1	1268.198800000	1268.216300000	T0000015 sinmarcas.wav	71120.690	82974.138	50	NA
102	Spectrogram 1	1	1269.208000000	1269.224474619	T0000015 sinmarcas.wav	52262.931	57650.862	50	NA
103	Spectrogram 1	1	1270.264700000	1270.284100000	T0000015 sinmarcas.wav	64655.172	74353.448	50	NA
104	Spectrogram 1	1	1270.367600000	1270.429812315	T0000015 sinmarcas.wav	50107.759	58189.655	50	NA
105	Spectrogram 1	1	1270.852000000	1270.880274619	T0000015 sinmarcas.wav	54956.897	64116.379	50	NA
106	Spectrogram 1	1	1282.165600000	1282.200500000	T0000015 sinmarcas.wav	51724.138	61422.414	50	NA
107	Spectrogram 1	1	1283.204189433	1283.229319935	T0000015 sinmarcas.wav	53879.310	58728.448	50	NA
108	Spectrogram 1	1	1283.508480065	1283.531200000	T0000015 sinmarcas.wav	52262.931	58728.448	50	NA
109	Spectrogram 1	1	1283.791916775	1283.829200000	T0000015 sinmarcas.wav	66810.345	75969.828	50	NA
110	Spectrogram 1	1	1284.708948039	1284.730300000	T0000015 sinmarcas.wav	67887.931	82435.345	50	NA
111	Spectrogram 1	1	1287.620597277	1287.641759805	T0000015 sinmarcas.wav	69504.310	78125.000	50	NA
112	Spectrogram 1	1	1290.620800000	1290.649192593	T0000015 sinmarcas.wav	54418.103	60883.621	50	NA
113	Spectrogram 1	1	1324.651000000	1324.686200000	T0000015 sinmarcas.wav	66271.552	80280.172	50	NA
114	Spectrogram 1	1	1374.486626143	1374.527628541	T0000015 sinmarcas.wav	49030.172	59267.241	50	NA
115	Spectrogram 1	1	1378.493800000	1378.509956645	T0000015 sinmarcas.wav	72737.069	83512.931	50	NA
116	Spectrogram 1	1	1378.625000000	1378.654126367	T0000015 sinmarcas.wav	54956.897	64116.379	50	NA
117	Spectrogram 1	1	1385.250771459	1385.290451199	T0000015 sinmarcas.wav	56034.483	74892.241	50	NA
118	Spectrogram 1	1	1388.380600000	1388.440309805	T0000015 sinmarcas.wav	49568.966	57112.069	50	NA
119	Spectrogram 1	1	1389.659131162	1389.689552296	T0000015 sinmarcas.wav	59267.241	72737.069	50	NA
120	Spectrogram 1	1	1391.047270697	1391.067110567	T0000015 sinmarcas.wav	65732.759	77047.414	50	NA
121	Spectrogram 1	1	1397.174600000	1397.199206645	T0000015 sinmarcas.wav	49030.172	57650.862	50	NA
122	Spectrogram 1	1	1399.151507407	1399.162088671	T0000015 sinmarcas.wav	63577.586	71120.690	50	NA
123	Spectrogram 1	1	1399.577500000	1399.597029303	T0000015 sinmarcas.wav	62500.000	70043.103	50	NA
124	Spectrogram 1	1	1399.797700000	1399.828300000	T0000015 sinmarcas.wav	44719.828	51724.138	50	NA
125	Spectrogram 1	1	1403.534700000	1403.565500000	T0000015 sinmarcas.wav	63038.793	75431.034	50	NA
126	Spectrogram 1	1	1403.847253485	1403.886933225	T0000015 sinmarcas.wav	59806.034	72737.069	50	NA
127	Spectrogram 1	1	1404.321700000	1404.375000000	T0000015 sinmarcas.wav	45258.621	49568.966	50	NA
128	Spectrogram 1	1	1410.471466775	1410.501887909	T0000015 sinmarcas.wav	60883.621	72737.069	50	NA
129	Spectrogram 1	1	1415.272275381	1415.286200000	T0000015 sinmarcas.wav	55495.690	59267.241	50	NA
130	Spectrogram 1	1	1418.199656645	1418.224787147	T0000015 sinmarcas.wav	65193.966	72737.069	50	NA
131	Spectrogram 1	1	1421.807690195	1421.859273857	T0000015 sinmarcas.wav	50646.552	71120.690	50	NA
132	Spectrogram 1	1	1433.199500000	1433.224137909	T0000015 sinmarcas.wav	50646.552	61422.414	50	NA
133	Spectrogram 1	1	1435.129720697	1435.140301961	T0000015 sinmarcas.wav	67349.138	77047.414	50	NA
134	Spectrogram 1	1	1435.526762091	1435.565500000	T0000015 sinmarcas.wav	71120.690	85668.103	50	NA
135	Spectrogram 1	1	1440.047048801	1440.081437909	T0000015 sinmarcas.wav	58728.448	71120.690	50	4
136	Spectrogram 1	1	1441.742962091	1441.774705883	T0000015 sinmarcas.wav	56034.483	70043.103	50	6
137	Spectrogram 1	1	1441.979717872	1442.010000000	T0000015 sinmarcas.wav	45797.414	51185.345	50	1
138	Spectrogram 1	1	1448.845257407	1448.863774619	T0000015 sinmarcas.wav	68426.724	78663.793	50	4
139	Spectrogram 1	1	1449.087303820	1449.106300000	T0000015 sinmarcas.wav	56034.483	66271.552	50	4
140	Spectrogram 1	1	1455.763321459	1455.799033225	T0000015 sinmarcas.wav	53879.310	66810.345	50	1
141	Spectrogram 1	1	1471.370700000	1471.389113839	T0000015 sinmarcas.wav	63577.586	72198.276	50	4
142	Spectrogram 1	1	1478.249800000	1478.276060567	T0000015 sinmarcas.wav	64655.172	77047.414	50	4
143	Spectrogram 1	1	1489.842600000	1489.870565251	T0000015 sinmarcas.wav	65732.759	78125.000	50	1
144	Spectrogram 1	1	1493.212600000	1493.261200000	T0000015 sinmarcas.wav	67349.138	87284.483	50	4
145	Spectrogram 1	1	1509.046648039	1509.066487909	T0000015 sinmarcas.wav	71659.483	83512.931	50	NA
146	Spectrogram 1	1	1524.802000000	1524.831100000	T0000015 sinmarcas.wav	51724.138	57650.862	50	NA
147	Spectrogram 1	1	1527.704425381	1527.723500000	T0000015 sinmarcas.wav	68426.724	75431.034	50	NA
148	Spectrogram 1	1	1538.425748801	1538.437652723	T0000015 sinmarcas.wav	72737.069	82435.345	50	NA
149	Spectrogram 1	1	1538.579900000	1538.616211552	T0000015 sinmarcas.wav	51185.345	59806.034	50	NA
150	Spectrogram 1	1	1542.699516013	1542.710200000	T0000015 sinmarcas.wav	74892.241	80818.966	50	NA
151	Spectrogram 1	1	1550.619498039	1550.643305883	T0000015 sinmarcas.wav	66810.345	82974.138	50	NA
152	Spectrogram 1	1	1558.116800000	1558.155583225	T0000015 sinmarcas.wav	64116.379	80818.966	50	NA
153	Spectrogram 1	1	1558.254000000	1558.305100000	T0000015 sinmarcas.wav	46336.207	51185.345	50	NA
154	Spectrogram 1	1	1563.135002723	1563.157487909	T0000015 sinmarcas.wav	54418.103	63038.793	50	NA
155	Spectrogram 1	1	1576.109000000	1576.126797277	T0000015 sinmarcas.wav	49568.966	56573.276	50	NA
156	Spectrogram 1	1	1576.399700000	1576.435100000	T0000015 sinmarcas.wav	64116.379	79202.586	50	NA
157	Spectrogram 1	1	1580.070800000	1580.089200000	T0000015 sinmarcas.wav	53340.517	59267.241	50	NA
158	Spectrogram 1	1	1586.269600000	1586.293200000	T0000015 sinmarcas.wav	51185.345	59267.241	50	NA
159	Spectrogram 1	1	1588.968079303	1588.979100000	T0000015 sinmarcas.wav	72198.276	80818.966	50	NA
160	Spectrogram 1	1	1608.067000000	1608.122300000	T0000015 sinmarcas.wav	50107.759	63577.586	50	NA
161	Spectrogram 1	1	1610.869700000	1610.907051199	T0000015 sinmarcas.wav	66810.345	78125.000	50	NA
162	Spectrogram 1	1	1612.573600000	1612.622300000	T0000015 sinmarcas.wav	48491.379	75969.828	50	NA
163	Spectrogram 1	1	1618.700800000	1618.732287909	T0000015 sinmarcas.wav	55495.690	61961.207	50	NA
164	Spectrogram 1	1	1628.618466348	1628.633000000	T0000015 sinmarcas.wav	75431.034	82435.345	50	NA
165	Spectrogram 1	1	1631.186537259	1631.227200000	T0000015 sinmarcas.wav	52262.931	61961.207	50	NA
166	Spectrogram 1	1	1632.953800000	1632.983515251	T0000015 sinmarcas.wav	54418.103	61961.207	50	NA
167	Spectrogram 1	1	1636.739000000	1636.784491831	T0000015 sinmarcas.wav	52801.724	59267.241	50	NA
168	Spectrogram 1	1	1643.487266013	1643.499500000	T0000015 sinmarcas.wav	73275.862	79741.379	50	NA
169	Spectrogram 1	1	1647.868599787	1647.901100000	T0000015 sinmarcas.wav	52801.724	58728.448	50	NA
170	Spectrogram 1	1	1648.259500000	1648.277869935	T0000015 sinmarcas.wav	67349.138	79741.379	50	NA
171	Spectrogram 1	1	1652.968800000	1653.011196515	T0000015 sinmarcas.wav	54956.897	59267.241	50	NA
172	Spectrogram 1	1	1656.437700000	1656.483455883	T0000015 sinmarcas.wav	57650.862	64655.172	50	NA
173	Spectrogram 1	1	1664.234900000	1664.255400000	T0000015 sinmarcas.wav	67349.138	77586.207	50	NA
174	Spectrogram 1	1	1667.237700000	1667.255547277	T0000015 sinmarcas.wav	67887.931	79202.586	50	NA
175	Spectrogram 1	1	1668.718000000	1668.737619935	T0000015 sinmarcas.wav	53879.310	61961.207	50	NA
176	Spectrogram 1	1	1674.598800000	1674.625900000	T0000015 sinmarcas.wav	65732.759	80818.966	50	NA
177	Spectrogram 1	1	1680.580500000	1680.597047277	T0000015 sinmarcas.wav	67349.138	78125.000	50	4
178	Spectrogram 1	1	1683.392400000	1683.433400000	T0000015 sinmarcas.wav	67887.931	81357.759	50	4
179	Spectrogram 1	1	1685.020600000	1685.051387909	T0000015 sinmarcas.wav	54956.897	63577.586	50	4
180	Spectrogram 1	1	1689.310871459	1689.339969935	T0000015 sinmarcas.wav	54418.103	59267.241	50	1
181	Spectrogram 1	1	1695.164357407	1695.188165251	T0000015 sinmarcas.wav	53879.310	61422.414	50	4
182	Spectrogram 1	1	1696.647916775	1696.684951199	T0000015 sinmarcas.wav	52801.724	61422.414	50	1
183	Spectrogram 1	1	1705.423307407	1705.440501961	T0000015 sinmarcas.wav	71120.690	80280.172	50	4
184	Spectrogram 1	1	1709.954400000	1710.004946515	T0000015 sinmarcas.wav	47952.586	55495.690	50	1
185	Spectrogram 1	1	1716.236580827	1716.287400000	T0000015 sinmarcas.wav	67349.138	81896.552	50	1
186	Spectrogram 1	1	1719.568800000	1719.611933225	T0000015 sinmarcas.wav	53879.310	58189.655	50	1
187	Spectrogram 1	1	1720.829062853	1720.855516013	T0000015 sinmarcas.wav	48491.379	59806.034	50	5
188	Spectrogram 1	1	1720.984000000	1721.019200000	T0000015 sinmarcas.wav	48491.379	56034.483	50	4
189	Spectrogram 1	1	1721.889700000	1721.927351199	T0000015 sinmarcas.wav	66810.345	80280.172	50	4
190	Spectrogram 1	1	1727.538600000	1727.580983225	T0000015 sinmarcas.wav	46875.000	58728.448	50	4
191	Spectrogram 1	1	1727.975357407	1727.987261329	T0000015 sinmarcas.wav	65732.759	74353.448	50	4
192	Spectrogram 1	1	1729.964825381	1729.980697277	T0000015 sinmarcas.wav	25323.276	31250.000	50	1
193	Spectrogram 1	1	1730.394500000	1730.442100000	T0000015 sinmarcas.wav	64116.379	72198.276	50	4
194	Spectrogram 1	1	1730.527419285	1730.555200000	T0000015 sinmarcas.wav	43103.448	49030.172	50	4
195	Spectrogram 1	1	1731.177362853	1731.226301199	T0000015 sinmarcas.wav	62500.000	72737.069	50	4
196	Spectrogram 1	1	1731.807700000	1731.837115251	T0000015 sinmarcas.wav	51185.345	59267.241	50	4
197	Spectrogram 1	1	1733.138573207	1733.163703709	T0000015 sinmarcas.wav	51724.138	57650.862	50	5
198	Spectrogram 1	1	1740.826500000	1740.871078541	T0000015 sinmarcas.wav	56573.276	71120.690	50	4
199	Spectrogram 1	1	1741.517800000	1741.536642593	T0000015 sinmarcas.wav	66271.552	82974.138	50	NA
200	Spectrogram 1	1	1741.760171794	1741.793238244	T0000015 sinmarcas.wav	49568.966	56573.276	50	NA
201	Spectrogram 1	1	1743.370700000	1743.405000000	T0000015 sinmarcas.wav	58189.655	63038.793	50	NA
202	Spectrogram 1	1	1744.871800000	1744.888300000	T0000015 sinmarcas.wav	66810.345	72737.069	50	NA
203	Spectrogram 1	1	1745.187700000	1745.215400000	T0000015 sinmarcas.wav	64655.172	77586.207	50	NA
204	Spectrogram 1	1	1746.219753485	1746.263401199	T0000015 sinmarcas.wav	66271.552	87284.483	50	NA
205	Spectrogram 1	1	1746.337470047	1746.359955233	T0000015 sinmarcas.wav	58189.655	65732.759	50	NA
206	Spectrogram 1	1	1748.100916775	1748.132660567	T0000015 sinmarcas.wav	54418.103	74892.241	50	NA
207	Spectrogram 1	1	1748.439861329	1748.457055883	T0000015 sinmarcas.wav	63038.793	73275.862	50	NA
208	Spectrogram 1	1	1748.547400000	1748.597257631	T0000015 sinmarcas.wav	51185.345	59806.034	50	NA
209	Spectrogram 1	1	1748.790898801	1748.827933225	T0000015 sinmarcas.wav	61961.207	72737.069	50	NA
210	Spectrogram 1	1	1751.234000000	1751.260974619	T0000015 sinmarcas.wav	50646.552	56034.483	50	NA
211	Spectrogram 1	1	1752.250880827	1752.289237909	T0000015 sinmarcas.wav	70581.897	86745.690	50	NA
212	Spectrogram 1	1	1753.969600000	1754.006355883	T0000015 sinmarcas.wav	53879.310	65732.759	50	NA
213	Spectrogram 1	1	1758.848884749	1758.879100000	T0000015 sinmarcas.wav	71120.690	88362.069	50	NA
214	Spectrogram 1	1	1759.273480827	1759.327709805	T0000015 sinmarcas.wav	66810.345	91056.034	50	NA
215	Spectrogram 1	1	1761.548615363	1761.597553709	T0000015 sinmarcas.wav	49030.172	59806.034	50	NA
216	Spectrogram 1	1	1766.459800000	1766.502300000	T0000015 sinmarcas.wav	65732.759	81896.552	50	NA
217	Spectrogram 1	1	1766.592814601	1766.642000000	T0000015 sinmarcas.wav	51724.138	59267.241	50	NA
218	Spectrogram 1	1	1766.739800000	1766.771792593	T0000015 sinmarcas.wav	52801.724	60883.621	50	NA
219	Spectrogram 1	1	1770.246094117	1770.293709805	T0000015 sinmarcas.wav	53340.517	60883.621	50	NA
220	Spectrogram 1	1	1774.684500000	1774.733726367	T0000015 sinmarcas.wav	53879.310	61961.207	50	NA
221	Spectrogram 1	1	1778.152900000	1778.165100000	T0000015 sinmarcas.wav	64655.172	72198.276	50	NA
222	Spectrogram 1	1	1780.223466775	1780.261823857	T0000015 sinmarcas.wav	53340.517	66810.345	50	NA
223	Spectrogram 1	1	1798.132600000	1798.182073857	T0000015 sinmarcas.wav	51724.138	60344.828	50	NA
224	Spectrogram 1	1	1803.235462091	1803.271173857	T0000015 sinmarcas.wav	53879.310	75431.034	50	NA
225	Spectrogram 1	1	1806.299500000	1806.343100000	T0000015 sinmarcas.wav	65193.966	77586.207	50	NA
226	Spectrogram 1	1	1807.112930827	1807.160546515	T0000015 sinmarcas.wav	66810.345	74892.241	50	NA
227	Spectrogram 1	1	1807.782800000	1807.861378876	T0000015 sinmarcas.wav	54956.897	59806.034	50	NA
228	Spectrogram 1	1	1811.352000000	1811.377569935	T0000015 sinmarcas.wav	66271.552	82435.345	50	NA
229	Spectrogram 1	1	1816.563700000	1816.598500000	T0000015 sinmarcas.wav	70581.897	85129.310	50	NA
230	Spectrogram 1	1	1819.864500000	1819.903783225	T0000015 sinmarcas.wav	51724.138	61961.207	50	NA
231	Spectrogram 1	1	1821.991900000	1822.019000000	T0000015 sinmarcas.wav	51724.138	58189.655	50	NA
232	Spectrogram 1	1	1824.470980065	1824.501200000	T0000015 sinmarcas.wav	59267.241	77586.207	50	NA
233	Spectrogram 1	1	1824.712600000	1824.773000000	T0000015 sinmarcas.wav	49568.966	56573.276	50	NA
234	Spectrogram 1	1	1825.760920697	1825.782200000	T0000015 sinmarcas.wav	64655.172	76508.621	50	NA
235	Spectrogram 1	1	1826.070898039	1826.098673857	T0000015 sinmarcas.wav	61422.414	78663.793	50	NA
236	Spectrogram 1	1	1829.011289433	1829.029806645	T0000015 sinmarcas.wav	49568.966	58728.448	50	NA
237	Spectrogram 1	1	1830.451407407	1830.482400000	T0000015 sinmarcas.wav	63038.793	70581.897	50	NA
238	Spectrogram 1	1	1830.786352723	1830.818096515	T0000015 sinmarcas.wav	65732.759	78663.793	50	NA
239	Spectrogram 1	1	1833.183289433	1833.225200000	T0000015 sinmarcas.wav	63577.586	80818.966	50	NA
240	Spectrogram 1	1	1842.742933987	1842.762200000	T0000015 sinmarcas.wav	64655.172	80280.172	50	NA
241	Spectrogram 1	1	1843.175938671	1843.193200000	T0000015 sinmarcas.wav	63577.586	74892.241	50	NA
242	Spectrogram 1	1	1843.575800000	1843.593692593	T0000015 sinmarcas.wav	64116.379	80280.172	50	NA
243	Spectrogram 1	1	1844.321207407	1844.345015251	T0000015 sinmarcas.wav	66810.345	73814.655	50	NA
244	Spectrogram 1	1	1844.442600000	1844.499766236	T0000015 sinmarcas.wav	47413.793	53879.310	50	NA
245	Spectrogram 1	1	1844.799312091	1844.825765251	T0000015 sinmarcas.wav	63038.793	71120.690	50	NA
